pair_id,img1,img2,gt_txt,n_inliers,inlier_rmse_px,mse_matrix,mse_sar50,out_dir
1,pair1_1.jpg,pair1_2.jpg,gt_1.txt,4,0.914099,204622.826591,265106843820471.968750,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_1
2,pair2_1.jpg,pair2_2.jpg,gt_2.txt,3,0.000000,1039502.059009,5341687575.545476,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_2
3,pair3_1.jpg,pair3_2.jpg,gt_3.txt,4,0.679329,100246.841099,151901268482661.718750,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_3
4,pair4_1.jpg,pair4_2.jpg,gt_4.txt,3,0.000000,23414832519.095860,2104623.833383,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_4
5,pair5_1.jpg,pair5_2.jpg,gt_5.txt,3,0.000000,2454.102899,1295096.859979,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_5
6,pair6_1.jpg,pair6_2.jpg,gt_6.txt,4,1.093035,62131656.442013,25439205.007082,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_6
7,pair7_1.jpg,pair7_2.jpg,gt_7.txt,4,0.804975,51483628.728385,359194448.203631,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_7
8,pair8_1.jpg,pair8_2.jpg,gt_8.txt,4,0.252786,41651.758646,601036612.527005,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_8
9,pair9_1.jpg,pair9_2.jpg,gt_9.txt,3,0.000000,1521340.896353,15102070.268353,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_9
10,pair10_1.jpg,pair10_2.jpg,gt_10.txt,4,0.497498,62139.159843,39687288873.854149,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_10
11,pair11_1.jpg,pair11_2.jpg,gt_11.txt,4,0.304773,308742.182281,40770037.353325,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_11
12,pair12_1.jpg,pair12_2.jpg,gt_12.txt,4,0.451990,148269.274117,50000234143830.367188,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_12
13,pair13_1.jpg,pair13_2.jpg,gt_13.txt,4,0.148817,968093.368211,22568531228.762806,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_13
14,pair14_1.jpg,pair14_2.jpg,gt_14.txt,3,0.000003,1052111522272.844849,587921.509825,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_14
15,pair15_1.jpg,pair15_2.jpg,gt_15.txt,4,1.086361,119064.347011,8429417552963.785156,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_15
16,pair16_1.jpg,pair16_2.jpg,gt_16.txt,4,0.941256,122013.635246,13972238963072122.000000,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_16
17,pair17_1.jpg,pair17_2.jpg,gt_17.txt,4,1.236119,191604.963832,566716.444827,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_17
18,pair18_1.jpg,pair18_2.jpg,gt_18.txt,3,0.000000,934136333.729581,11681471.916499,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_18
19,pair19_1.jpg,pair19_2.jpg,gt_19.txt,4,0.444186,96425.923830,1801547433.362368,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_19
20,pair20_1.jpg,pair20_2.jpg,gt_20.txt,3,0.000000,2939613.519505,264383603.570768,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_20
21,pair21_1.jpg,pair21_2.jpg,gt_21.txt,3,0.000000,15028.753888,198036.204836,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_21
22,pair22_1.jpg,pair22_2.jpg,gt_22.txt,3,0.000000,7955998.422862,960288.951972,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_22
23,pair23_1.jpg,pair23_2.jpg,gt_23.txt,4,0.669872,108241.674067,52249492658504592.000000,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_23
24,pair24_1.jpg,pair24_2.jpg,gt_24.txt,4,0.762224,113049.528307,140957419.067366,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_24
25,pair25_1.jpg,pair25_2.jpg,gt_25.txt,3,0.000000,38135028.630886,88668150.688557,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_25
26,pair26_1.jpg,pair26_2.jpg,gt_26.txt,4,0.928157,112469.447893,486569171.155554,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_26
27,pair27_1.jpg,pair27_2.jpg,gt_27.txt,4,0.794078,11056.893156,162751964463.759583,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_27
28,pair28_1.jpg,pair28_2.jpg,gt_28.txt,4,0.573346,188910.955827,825777932134.157715,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_28
29,pair29_1.jpg,pair29_2.jpg,gt_29.txt,4,0.827281,58466.802111,264171773.937667,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_29
30,pair30_1.jpg,pair30_2.jpg,gt_30.txt,4,0.501224,1805742.405692,396385.280685,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_30
31,pair31_1.jpg,pair31_2.jpg,gt_31.txt,4,0.640245,98090.264942,53298996.119854,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_31
32,pair32_1.jpg,pair32_2.jpg,gt_32.txt,3,0.000896,8587235691876.225586,2652801075561.622559,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_32
33,pair33_1.jpg,pair33_2.jpg,gt_33.txt,4,0.559965,34429.125587,2395015.162572,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_33
34,pair34_1.jpg,pair34_2.jpg,gt_34.txt,4,0.246513,88357.223575,19054214004543.351562,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_34
35,pair35_1.jpg,pair35_2.jpg,gt_35.txt,3,0.000000,15424588316708.636719,113173.334033,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_35
36,pair36_1.jpg,pair36_2.jpg,gt_36.txt,3,0.000001,841336.805833,797494110.706417,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_36
37,pair37_1.jpg,pair37_2.jpg,gt_37.txt,4,0.927773,46141.639555,14659779964919181312.000000,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_37
38,pair38_1.jpg,pair38_2.jpg,gt_38.txt,4,0.573539,143229.859469,100686081177.562912,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_38
39,pair39_1.jpg,pair39_2.jpg,gt_39.txt,3,0.000000,1943579.787419,11712454.343177,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_39
40,pair40_1.jpg,pair40_2.jpg,gt_40.txt,4,1.118928,24162.827639,442393870.529002,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_40
